gene_id	root_og
NP_415050.1	COG2055
NP_415054.1	COG0549
NP_415055.1	COG0026
NP_415056.1	COG0041
NP_415057.1	COG2908
NP_415058.1	COG0652
NP_415062.1	COG0190
NP_415068.1	COG2197
NP_415089.1	2CJNH
NP_415092.1	COG4220
NP_415096.1	COG2207
NP_415097.1	COG4571
NP_415102.1	COG5002
NP_415103.1	COG0745
NP_415104.1	COG1538
NP_415105.1	COG5569
NP_415106.1	COG0845
NP_415107.1	COG3696
NP_415108.1	COG1113
NP_415110.1	COG0778
NP_415113.1	COG2170
NP_415116.1	COG1629
NP_415118.1	COG1020
NP_415119.1	COG3765
NP_415120.1	COG1120
NP_415121.1	COG4779
NP_415122.1	COG0609
NP_415123.1	COG0477
NP_415124.1	COG4592
NP_415125.1	COG1169
NP_415126.1	COG1021
NP_415127.1	COG1535
NP_415128.1	COG1028
NP_415129.1	COG2050
NP_415130.1	COG1966
NP_415135.1	COG3969
NP_415138.1	COG0450
NP_415145.1	COG0471
NP_415146.1	COG1767
NP_415147.1	COG3697
NP_415148.1	COG3051
NP_415150.1	COG3052
NP_415152.1	COG3290
NP_415153.1	COG4565
NP_415154.1	COG3069
NP_415155.1	2C256
NP_415156.1	COG1278
NP_415161.1	COG0320
NP_415169.1	COG1576
NP_415172.1	COG1057
NP_415173.1	COG1466
NP_415174.1	COG2980
NP_415175.1	COG0495
NP_415176.1	COG2888
NP_415185.1	COG1126
NP_415186.1	COG0765
NP_415194.1	COG0621
NP_415200.1	COG0367
NP_415201.1	COG0647
NP_415202.1	COG1846
NP_415203.1	COG1820
NP_415204.1	COG0363
NP_415205.1	COG1263
NP_415207.1	2C471
NP_415208.1	2AQ40
NP_415209.1	COG0735
NP_415210.1	COG0716
NP_415222.1	COG0745
NP_415223.1	COG0642
NP_415224.1	COG2156
NP_415225.1	COG2216
NP_415226.1	COG2060
NP_415228.1	2E70C
NP_415236.1	COG0415
NP_415239.1	COG2049
NP_415240.1	COG1984
NP_415241.1	COG1540
NP_415242.1	COG0266
NP_415248.1	COG0372
NP_415249.1	COG2009
NP_415250.1	COG2142
NP_415251.1	COG1053
NP_415252.1	COG0479
NP_415254.1	COG0567
NP_415255.1	COG0508
NP_415256.1	COG0045
NP_415257.1	COG0074
NP_415258.1	COG2188
NP_415259.1	COG1299
NP_415260.1	COG0383
NP_415262.1	COG1294
NP_415265.1	COG0811
NP_415266.1	COG0848
NP_415268.1	COG0823
NP_415269.1	COG2885
NP_415271.1	COG0379
NP_415272.1	COG3201
NP_415275.1	COG0722
NP_415276.1	COG0588
NP_415277.1	COG2017
NP_415278.1	COG0153
NP_415279.1	COG1085
NP_415283.1	2EGRQ
NP_415284.1	COG0725
NP_415285.1	COG4149
NP_415286.1	COG4148
NP_415294.1	COG1881
NP_415295.1	COG0161
NP_415296.1	COG0502
NP_415297.1	COG0156
NP_415298.1	COG0500
NP_415299.1	COG0132
NP_415300.1	COG0556
NP_415302.1	COG2896
NP_415303.1	COG0521
NP_415304.1	COG0315
NP_415305.1	COG1977
NP_415306.1	COG0314
NP_415307.1	COG0670
NP_415313.1	COG0842
NP_415314.1	COG0842
NP_415316.1	COG0845
NP_415320.1	COG1199
NP_415321.1	COG0547
NP_415326.1	COG4774
NP_415330.1	COG1126
NP_415331.1	COG0765
NP_415332.1	COG0834
NP_415333.1	COG0783
NP_415334.1	COG5006
NP_415335.1	COG3637
NP_415336.1	COG2194
NP_415338.1	COG1321
NP_415339.1	COG1055
NP_415340.1	COG1376
NP_415341.1	COG0488
NP_415347.1	COG0476
NP_415348.1	COG0303
NP_415352.1	COG0601
NP_415356.1	COG0621
NP_415357.1	29WPV
NP_415360.1	COG1686
NP_415361.1	COG1349
NP_415362.1	COG0671
NP_415370.1	COG0695
NP_415371.1	2E45I
NP_415372.1	COG0778
NP_415373.1	COG0189
NP_415374.1	2DC0R
NP_415375.1	COG0687
NP_415377.1	COG1176
NP_415378.1	COG1177
NP_415379.1	2E0RG
NP_415381.1	COG0834
NP_415382.1	COG4160
NP_415383.1	COG4215
NP_415384.1	COG0834
NP_415385.1	COG1126
NP_415388.1	COG3023
NP_415392.1	COG0028
NP_415393.1	COG1018
NP_415398.1	COG2990
NP_415400.1	COG0577
NP_415401.1	COG1278
NP_415402.1	COG2127
NP_415406.1	COG4987
NP_415407.1	COG4988
NP_415408.1	COG0492
NP_415409.1	COG1522
NP_415410.1	COG1178
NP_415412.1	COG2256
NP_415413.1	COG0172
NP_415415.1	COG0437
NP_415416.1	COG3302
NP_415422.1	COG1180
NP_415423.1	COG1882
NP_415424.1	COG2116
NP_415427.1	COG1932
NP_415428.1	COG0128
NP_415430.1	COG0283
NP_415434.1	COG1132
NP_415445.1	COG2989
NP_415447.1	COG0491
NP_415448.1	COG1448
NP_415449.1	COG3203
NP_415451.1	COG1488
NP_415453.1	COG1116
NP_415455.1	COG2141
NP_415457.1	COG0431
NP_415459.1	COG3121
NP_415460.1	COG3188
NP_415462.1	COG3539
NP_415465.1	COG0167
NP_415470.1	COG2995
NP_415471.1	COG1463
NP_415473.1	COG3130
NP_415474.1	COG0764
NP_415475.1	COG1067
NP_415477.1	COG2885
NP_415478.1	COG5404
NP_415479.1	COG3070
NP_415484.1	COG3110
NP_415490.1	COG0670
NP_415491.1	COG1740
NP_415492.1	COG0374
NP_415493.1	COG1969
NP_415494.1	COG0680
NP_415495.1	COG1999
NP_415496.1	COG1773
NP_415497.1	COG1271
NP_415498.1	COG1294
NP_415500.1	2DB79
NP_415510.1	COG1278
NP_415515.1	COG0745
NP_415516.1	COG3005
NP_415517.1	COG0243
NP_415518.1	COG3381
NP_415519.1	COG0789
NP_415520.1	COG0484
NP_415522.1	2DB79
NP_415523.1	2CE55
NP_415524.1	COG0655
NP_415528.1	COG0778
NP_415529.1	COG2021
NP_415530.1	COG0251
NP_415533.1	COG1309
NP_415534.1	COG0506
NP_415535.1	COG0591
NP_415538.1	COG2837
NP_415539.1	COG1702
NP_415540.1	2EENA
NP_415541.1	COG1215
NP_415542.1	COG0726
NP_415543.1	COG0457
NP_415552.1	COG1387
NP_415553.1	COG3381
NP_415555.1	COG1462
NP_415556.1	2DEP1
NP_415557.1	2C2E6
NP_415558.1	COG2197
NP_415559.1	2DRE1
NP_415560.1	29Z81
NP_415561.1	2CHEZ
NP_415571.1	COG0477
NP_415573.1	COG1054
NP_415579.1	2DMSQ
NP_415580.1	COG0418
NP_415582.1	COG2999
NP_415584.1	COG1670
NP_415585.1	COG3132
NP_415586.1	COG0673
NP_415588.1	COG3418
NP_415589.1	COG2747
NP_415601.1	COG1344
NP_415609.1	COG0332
NP_415610.1	COG0331
NP_415611.1	COG1028
NP_415613.1	COG0304
NP_415619.1	COG1263
NP_415620.1	COG4773
NP_415625.1	COG1472
NP_415627.1	COG1252
NP_415630.1	2E4GN
NP_415631.1	COG1376
NP_415645.1	COG2195
NP_415647.1	COG0642
NP_415648.1	COG0745
NP_415649.1	COG0015
NP_415650.1	COG2915
NP_415654.1	COG0538
NP_415678.1	2E777
NP_415679.1	COG5562
NP_415681.1	COG2200
NP_415682.1	2CBKZ
NP_415683.1	291Y3
NP_415684.1	2ECN4
NP_415685.1	294ER
NP_415693.1	COG2894
NP_415701.1	COG1974
NP_415702.1	COG0389
NP_415705.1	COG2186
NP_415707.1	COG0665
NP_415708.1	COG0787
NP_415717.1	COG1461
NP_415721.1	COG0012
NP_415723.1	2DB54
NP_415725.1	COG0462
NP_415728.1	COG0373
NP_415729.1	COG0216
NP_415730.1	COG2890
NP_415731.1	COG3094
NP_415732.1	COG2912
NP_415733.1	COG2877
NP_415734.1	COG0387
NP_415735.1	COG4572
NP_415739.1	COG2197
NP_415740.1	COG3850
NP_415741.1	COG2223
NP_415742.1	COG5013
NP_415743.1	COG1140
NP_415744.1	COG2180
NP_415745.1	COG2181
NP_415748.1	COG0788
NP_415749.1	COG3012
NP_415751.1	COG0745
NP_415752.1	COG1210
NP_415753.1	COG2916
NP_415757.1	COG1012
NP_415759.1	COG4166
NP_415760.1	COG0601
NP_415761.1	COG1173
NP_415763.1	COG4608
NP_415765.1	COG1502
NP_415768.1	COG0810
NP_415770.1	COG2917
NP_415771.1	28JC8
NP_415772.1	COG3047
NP_415773.1	COG3685
NP_415774.1	COG3685
NP_415776.1	COG0159
NP_415777.1	COG0133
NP_415779.1	COG0512
NP_415780.1	COG0147
NP_415785.1	COG1187
NP_415788.1	COG0616
NP_415789.1	2CK10
NP_415790.1	COG0550
NP_415791.1	COG0583
NP_415792.1	COG1048
NP_415793.1	COG0807
NP_415799.1	2CMW8
NP_415801.1	COG5001
NP_415804.1	COG0623
NP_415815.1	COG1396
NP_415816.1	COG1012
NP_415817.1	COG0665
NP_415818.1	COG0160
NP_415820.1	COG1842
NP_415821.1	2CJWQ
NP_415822.1	COG1983
NP_415823.1	2C1SN
NP_415824.1	COG0607
NP_415827.1	COG1175
NP_415828.1	COG0395
NP_415831.1	COG0673
NP_415836.1	COG1609
NP_415837.1	COG3106
NP_415838.1	COG3768
NP_415839.1	COG3283
NP_415840.1	COG2077
NP_415849.1	COG0589
NP_415850.1	COG0664
NP_415851.1	COG0350
NP_415895.1	COG3203
NP_415896.1	COG0674
NP_415897.1	COG3187
NP_415902.1	COG2207
NP_415905.1	COG1012
NP_415906.1	COG3396
NP_415907.1	COG3460
NP_415908.1	COG3396
NP_415910.1	COG1018
NP_415911.1	COG1024
NP_415912.1	COG1024
NP_415913.1	COG1250
NP_415914.1	COG2050
NP_415915.1	COG0183
NP_415916.1	COG1541
NP_415917.1	COG3327
NP_415918.1	COG0663
NP_415927.1	COG4589
NP_415928.1	COG2267
NP_415929.1	COG0671
NP_415930.1	COG1182
NP_415932.1	COG1434
NP_415933.1	COG1012
NP_415938.1	COG0840
NP_415946.1	COG1275
NP_415947.1	COG0500
NP_415951.1	COG1396
NP_415956.1	COG1167
NP_415957.1	COG0687
NP_415958.1	COG3842
NP_415959.1	COG1176
NP_415960.1	COG1177
NP_415961.1	COG1012
NP_415969.1	COG3391
NP_415982.1	COG2181
NP_415983.1	COG2180
NP_415984.1	COG1140
NP_415985.1	COG5013
NP_415986.1	COG2223
NP_415991.1	COG0243
NP_415992.1	COG0437
NP_415993.1	COG2864
NP_415997.1	2EN1Q
NP_415999.1	COG1764
NP_416009.1	COG0531
NP_416010.1	COG0076
NP_416016.1	COG2207
NP_416018.1	COG0243
NP_416024.1	COG3550
NP_416025.1	COG1396
NP_416029.1	COG2390
NP_416030.1	COG1129
NP_416031.1	COG1172
NP_416032.1	COG1172
NP_416033.1	COG1879
NP_416034.1	COG1830
NP_416035.1	COG1359
NP_416036.1	COG4106
NP_416043.1	COG0583
NP_416045.1	COG0477
NP_416049.1	2E68Q
NP_416052.1	COG2199
NP_416054.1	COG3111
NP_416055.1	COG1546
NP_416058.1	COG1802
NP_416064.1	COG2110
NP_416070.1	COG1278
NP_416080.1	2DQ3V
NP_416081.1	COG2026
NP_416082.1	COG3077
NP_416084.1	2DNW6
NP_416087.1	2AV39
NP_416092.1	2AV4R
NP_416093.1	2EHIM
NP_416097.1	COG1063
NP_416100.1	2CSJ8
NP_416101.1	COG1670
NP_416104.1	COG0243
NP_416106.1	COG0437
NP_416107.1	COG3302
NP_416111.1	COG1940
NP_416112.1	COG0583
NP_416113.1	COG0477
NP_416120.1	COG3288
NP_416122.1	COG0531
NP_416124.1	COG3136
NP_416126.1	COG0642
NP_416127.1	28I61
NP_416128.1	COG0114
NP_416129.1	COG1838
NP_416133.1	COG2211
NP_416134.1	COG3250
NP_416135.1	COG1309
NP_416136.1	COG1028
NP_416137.1	COG1609
NP_416138.1	COG1263
NP_416139.1	COG1168
NP_416140.1	COG1816
NP_416142.1	2CN5N
NP_416151.1	COG3104
NP_416157.1	COG2377
NP_416160.1	2E3ZD
NP_416162.1	COG1289
NP_416167.1	COG1902
NP_416168.1	COG0346
NP_416171.1	COG0278
NP_416172.1	COG0791
NP_416173.1	COG0605
NP_416175.1	COG1609
NP_416178.1	COG2230
NP_416184.1	2DBJN
NP_416185.1	COG4117
NP_416187.1	28VFF
NP_416188.1	COG2414
NP_416189.1	COG0437
NP_416191.1	COG0469
NP_416194.1	COG2166
NP_416195.1	COG0520
NP_416196.1	COG0719
NP_416197.1	COG0396
NP_416199.1	COG0316
NP_416209.1	COG4670
NP_416213.1	COG2025
NP_416217.1	COG0574
NP_416218.1	COG1806
NP_416219.1	COG0722
NP_416221.1	COG0397
NP_416222.1	COG2200
NP_416227.1	COG0776
NP_416228.1	COG0072
NP_416229.1	COG0016
NP_416231.1	COG0292
NP_416233.1	COG0290
NP_416234.1	COG0441
NP_416243.1	COG1823
NP_416247.1	COG3394
NP_416248.1	COG1486
NP_416249.1	COG1917
NP_416250.1	COG1447
NP_416251.1	COG1455
NP_416252.1	COG1440
NP_416253.1	COG2913
NP_416255.1	COG0322
NP_416257.1	COG3678
NP_416258.1	COG2988
NP_416259.1	COG3724
NP_416260.1	COG1012
NP_416261.1	COG3138
NP_416262.1	COG4992
NP_416263.1	COG0708
NP_416273.1	COG0494
NP_416275.1	COG0334
NP_416281.1	COG0252
NP_416284.1	COG1349
NP_416288.1	COG1063
NP_416293.1	COG0057
NP_416295.1	COG0656
NP_416296.1	COG3713
NP_416297.1	COG2766
NP_416298.1	COG2718
NP_416304.1	COG2207
NP_416305.1	COG2807
NP_416310.1	2BFDU
NP_416311.1	COG3615
NP_416312.1	COG1280
NP_416314.1	COG0473
NP_416315.1	COG1292
NP_416319.1	COG0318
NP_416322.1	COG1199
NP_416328.1	COG1760
NP_416331.1	COG2893
NP_416332.1	COG3715
NP_416334.1	COG4811
NP_416337.1	COG1278
NP_416338.1	2EQ5Q
NP_416340.1	2E94K
NP_416360.1	COG2979
NP_416362.1	COG3141
NP_416363.1	COG0027
NP_416364.1	COG0800
NP_416365.1	COG0129
NP_416366.1	COG0364
NP_416367.1	COG1737
NP_416372.1	COG1121
NP_416373.1	COG1108
NP_416374.1	COG2255
NP_416375.1	COG0632
NP_416377.1	COG0817
NP_416395.1	COG3143
NP_416396.1	COG0745
NP_416397.1	COG2201
NP_416398.1	COG1352
NP_416399.1	COG0840
NP_416400.1	COG0840
NP_416401.1	COG0835
NP_416402.1	COG0643
NP_416403.1	COG1360
NP_416404.1	COG1291
NP_416405.1	2DBG4
NP_416409.1	COG0589
NP_416413.1	COG1129
NP_416414.1	COG1879
NP_416415.1	COG1528
NP_416417.1	2DX6P
NP_416418.1	COG1528
NP_416420.1	COG0814
NP_416422.1	COG0558
NP_416424.1	COG2197
NP_416425.1	2E5U3
NP_416426.1	COG2197
NP_416430.1	COG0834
NP_416433.1	COG1344
NP_416434.1	COG1345
NP_416447.1	COG1677
NP_416448.1	COG1766
NP_416449.1	COG1536
NP_416451.1	COG1157
NP_416452.1	COG2882
NP_416453.1	COG3144
NP_416461.1	COG2197
NP_416467.1	COG2354
NP_416482.1	COG3443
NP_416489.1	COG0775
NP_416492.1	COG0583
NP_416493.1	COG0583
NP_416513.1	COG3449
NP_416517.1	COG2391
NP_416532.1	COG1004
NP_416533.1	COG0362
NP_416542.1	COG1898
NP_416543.1	COG1209
NP_416544.1	COG1091
NP_416545.1	COG1088
NP_416553.1	COG0662
NP_416557.1	COG1089
NP_416565.1	COG0394
NP_416566.1	COG1596
NP_416572.1	COG0122
NP_416579.1	COG0841
NP_416580.1	COG0841
NP_416581.1	COG0477
NP_416582.1	COG0642
NP_416583.1	COG0745
NP_416594.1	COG1063
NP_416596.1	COG3414
NP_416597.1	COG1762
NP_416598.1	COG4573
NP_416608.1	COG1937
NP_416609.1	COG2215
NP_416615.1	2E71U
NP_416631.1	COG0789
NP_416647.1	COG1346
NP_416648.1	COG0295
NP_416651.1	COG0493
NP_416653.1	COG4211
NP_416654.1	COG1129
NP_416655.1	COG1879
NP_416656.1	COG1609
NP_416657.1	COG2311
NP_416658.1	COG0302
NP_416660.1	COG1629
NP_416661.1	COG0833
NP_416662.1	COG0583
NP_416663.1	COG2855
NP_416664.1	COG0648
NP_416670.1	COG2313
NP_416672.1	COG1299
NP_416673.1	COG1105
NP_416674.1	COG1925
NP_416675.1	COG0477
NP_416686.1	2ATGA
NP_416697.1	COG2197
NP_416698.1	COG3088
NP_416699.1	COG0526
NP_416700.1	COG1138
NP_416701.1	COG2332
NP_416702.1	COG3114
NP_416703.1	COG0755
NP_416704.1	COG2386
NP_416706.1	COG3005
NP_416708.1	COG0348
NP_416709.1	COG0437
NP_416710.1	COG0243
NP_416711.1	COG3062
NP_416712.1	COG1145
NP_416715.1	COG4615
NP_416716.1	COG3145
NP_416717.1	COG0350
NP_416719.1	COG3203
NP_416720.1	COG0642
NP_416721.1	COG2197
NP_416724.1	COG2204
NP_416725.1	COG1788
NP_416726.1	COG2057
NP_416727.1	COG2031
NP_416728.1	COG0183
NP_416734.1	COG0188
NP_416735.1	COG2227
NP_416737.1	COG0209
NP_416738.1	COG0208
NP_416739.1	COG1018
NP_416740.1	COG3642
NP_416742.1	COG0584
NP_416743.1	COG2271
NP_416744.1	COG0578
NP_416745.1	COG3075
NP_416746.1	COG0247
NP_416757.1	COG0463
NP_416758.1	COG0223
NP_416759.1	COG0726
NP_416760.1	COG1807
NP_416769.1	COG4575
NP_416780.1	COG1008
NP_416781.1	COG1009
NP_416782.1	COG0713
NP_416783.1	COG0839
NP_416784.1	COG1143
NP_416785.1	COG1005
NP_416787.1	COG1894
NP_416788.1	COG1905
NP_416790.1	COG0377
NP_416792.1	COG0583
NP_416793.1	COG0436
NP_416799.1	COG0282
NP_416800.1	COG0280
NP_416804.1	COG0625
NP_416805.1	COG0625
NP_416809.1	COG4598
NP_416810.1	COG4160
NP_416811.1	COG4215
NP_416812.1	COG0834
NP_416813.1	COG0834
NP_416814.1	COG0163
NP_416815.1	COG0034
NP_416816.1	COG1286
NP_416819.1	COG0777
NP_416826.1	COG0304
NP_416837.1	COG3539
NP_416838.1	COG3539
NP_416839.1	COG3121
NP_416841.1	COG3539
NP_416843.1	COG1024
NP_416844.1	COG0183
NP_416851.1	COG2246
NP_416852.1	COG0463
NP_416865.1	COG0583
NP_416866.1	COG2610
NP_416867.1	COG3048
NP_416868.1	COG0477
NP_416869.1	COG1566
NP_416870.1	COG2197
NP_416871.1	COG0642
NP_416873.1	COG0679
NP_416874.1	COG0028
NP_416875.1	COG1804
NP_416876.1	28JAR
NP_416880.1	COG0436
NP_416889.1	COG0837
NP_416893.1	COG1914
NP_416894.1	COG1972
NP_416899.1	COG0008
NP_416901.1	COG2211
NP_416902.1	COG0005
NP_416906.1	COG0272
NP_416909.1	COG0031
NP_416910.1	COG1925
NP_416911.1	COG1080
NP_416912.1	COG2190
NP_416916.1	COG0031
NP_416917.1	COG1118
NP_416919.1	COG0555
NP_416920.1	COG4150
NP_416922.1	COG1737
NP_416923.1	COG2103
NP_416924.1	COG1263
NP_416931.1	COG0408
NP_416953.1	COG0280
NP_416959.1	COG0176
NP_416960.1	COG0021
NP_416961.1	COG5342
NP_416964.1	COG3850
NP_416965.1	COG0841
NP_416971.1	COG0152
NP_416977.1	COG0651
NP_416979.1	COG1009
NP_416980.1	COG4237
NP_416981.1	COG0651
NP_416982.1	COG3261
NP_416983.1	COG1143
NP_416984.1	COG3260
NP_416987.1	COG2116
NP_416990.1	COG1393
NP_416992.1	COG2233
NP_416994.1	COG0150
NP_416995.1	COG0299
NP_416998.1	COG2200
NP_417002.1	COG0518
NP_417003.1	COG0516
NP_417004.1	COG1570
NP_417013.1	COG0105
NP_417020.1	COG0633
NP_417021.1	COG0443
NP_417022.1	COG1076
NP_417023.1	COG0316
NP_417024.1	COG0822
NP_417026.1	COG1959
NP_417032.1	COG0583
NP_417033.1	COG4638
NP_417034.1	COG5517
NP_417035.1	COG2146
NP_417036.1	COG1028
NP_417037.1	COG0446
NP_417046.1	COG0112
NP_417047.1	COG1017
NP_417048.1	COG0347
NP_417049.1	COG2204
NP_417050.1	COG3170
NP_417065.1	COG3086
NP_417066.1	COG3026
NP_417067.1	COG3073
NP_417068.1	COG1595
NP_417069.1	COG0029
NP_417074.1	COG3445
NP_417075.1	COG0692
NP_417076.1	COG0566
NP_417077.1	COG3118
NP_417079.1	COG0045
NP_417088.1	COG1544
NP_417090.1	COG0077
NP_417091.1	COG0287
NP_417092.1	COG0722
NP_417094.1	2BSVP
NP_417095.1	COG2199
NP_417096.1	COG2885
NP_417097.1	COG0335
NP_417098.1	COG0336
NP_417100.1	COG0228
NP_417104.1	COG0576
NP_417109.1	COG2867
NP_417110.1	COG0691
NP_417119.1	2DBPX
NP_417147.1	COG1012
NP_417148.1	COG0160
NP_417149.1	COG1113
NP_417151.1	COG1652
NP_417152.1	COG0401
NP_417153.1	COG0640
NP_417154.1	COG0607
NP_417155.1	COG2916
NP_417156.1	2940Y
NP_417157.1	2DF7E
NP_417159.1	COG0695
NP_417160.1	COG1780
NP_417161.1	COG0209
NP_417162.1	COG0208
NP_417169.1	COG1846
NP_417170.1	COG1566
NP_417171.1	COG0477
NP_417172.1	COG1854
NP_417176.1	COG1551
NP_417177.1	COG0013
NP_417178.1	COG2137
NP_417179.1	COG0468
NP_417180.1	COG1546
NP_417184.1	COG3731
NP_417185.1	COG1028
NP_417186.1	COG4578
NP_417187.1	COG1349
NP_417190.1	COG0426
NP_417191.1	COG0446
NP_417192.1	COG0068
NP_417193.1	COG1142
NP_417196.1	COG2723
NP_417197.1	COG0680
NP_417198.1	2DBX5
NP_417199.1	COG3260
NP_417200.1	COG1143
NP_417201.1	COG3261
NP_417202.1	COG0650
NP_417203.1	COG0651
NP_417204.1	COG1142
NP_417205.1	2C05Z
NP_417206.1	COG0375
NP_417207.1	COG0378
